;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
581;ALUP11;26,46;6,34;1,09;1,578;4,65%;0,292;3,92;2,10;-0,68;4,25;4,09;75,28%;44,79%;1,78;15,35%;17,26%;26.560.400,00;7.084.130.000,00;1,41;38,18%;
582;CURY3;6,77;6,34;3,05;1,070;10,14%;0,674;2,86;4,85;-38,89;4,33;4,36;22,06%;16,93%;1,49;18,12%;48,09%;6.493.830,00;648.107.000,00;0,60;46,93%;
583;ALUP4;8,83;6,35;1,10;1,580;4,64%;0,292;3,92;2,10;-0,69;4,26;4,09;75,28%;44,79%;1,78;15,35%;17,26%;131.278,00;7.084.130.000,00;1,41;38,18%;
584;GFSA3;1,29;6,36;0,24;0,516;0,00%;0,090;0,25;6,41;6,86;21,67;15,55;8,06%;8,09%;2,24;1,62%;3,77%;8.438.280,00;1.816.090.000,00;0,90;5,84%;
585;TRPL3;28,85;6,38;1,28;3,274;5,14%;0,633;6,73;4,72;-1,79;6,36;6,33;69,32%;51,78%;3,29;14,01%;20,00%;47.022,50;14.896.500.000,00;0,52;18,35%;
586;SANB3;13,58;6,39;1,28;0,000;10,67%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,11%;1.669.290,00;79.249.900.000,00;0,00;14,24%;
587;BMEB3;11,05;6,42;0,99;0,000;4,25%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;15,34%;6.373,28;1.175.540.000,00;0,00;15,47%;
588;CEBR6;13,15;6,43;1,09;2,682;126,52%;0,642;1,69;7,70;1,73;1,76;1,62;34,83%;55,63%;2,61;17,02%;16,97%;159.409,00;868.046.000,00;0,00;-40,85%;
589;KLBN3;4,18;6,46;2,73;1,347;4,90%;0,584;3,40;3,77;-1,24;6,64;4,63;35,75%;22,13%;2,53;19,69%;42,17%;540.920,00;8.615.570.000,00;2,79;17,46%;
590;RSUL4;60,99;6,50;3,86;1,039;3,26%;1,189;6,22;4,27;-5,59;4,18;3,90;24,34%;15,98%;1,67;32,54%;59,33%;152.023,00;92.176.000,00;0,14;26,80%;
591;PATI4;54,00;6,53;1,54;0,477;5,39%;0,624;1,15;5,56;2,28;6,04;5,79;8,57%;7,30%;2,66;21,77%;23,52%;125,58;841.030.000,00;0,87;31,99%;
592;CSRN3;21,89;6,53;2,26;0,985;12,65%;0,685;63,43;4,66;-1,69;6,98;5,94;21,12%;15,07%;1,04;16,41%;34,56%;5.409,30;1.629.000.000,00;1,29;12,45%;
593;CSRN6;22,00;6,57;2,27;0,990;13,85%;0,689;63,75;4,69;-1,69;7,01;5,96;21,12%;15,07%;1,04;16,41%;34,56%;979,79;1.629.000.000,00;1,29;12,45%;
594;PFRM3;3,35;6,58;0,38;0,062;8,08%;0,092;0,51;1,68;18,68;4,03;2,62;3,70%;0,97%;1,36;9,06%;5,74%;430.007,00;1.097.730.000,00;0,66;13,17%;
595;SLCE3;45,40;6,59;2,05;1,168;5,34%;0,643;3,16;3,83;-3,47;4,58;4,29;30,50%;18,79%;1,73;19,46%;31,18%;87.136.000,00;4.696.130.000,00;0,64;33,43%;
596;CIQU4;12,49;6,63;1,05;0,413;0,00%;0,515;3,33;4,25;7,55;7,50;5,23;9,72%;6,22%;1,36;12,70%;15,87%;0,00;296.175.000,00;0,84;16,23%;
597;CIQU3;12,49;6,63;1,05;0,413;0,00%;0,515;3,33;4,25;7,55;7,50;5,23;9,72%;6,22%;1,36;12,70%;15,87%;0,00;296.175.000,00;0,84;16,23%;
598;PTNT3;11,44;6,66;1,68;0,656;1,77%;0,746;3,13;8,91;11,42;11,04;7,15;7,37%;9,91%;1,82;10,45%;25,25%;44.315,90;326.599.000,00;0,56;13,47%;
599;EQTL3;23,21;6,68;1,63;1,010;2,76%;0,372;3,33;4,61;-0,79;8,68;7,53;21,93%;17,45%;1,70;9,55%;24,38%;236.510.000,00;16.081.200.000,00;1,96;26,37%;
600;SANB11;28,50;6,71;1,35;0,000;10,68%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,11%;72.918.300,00;79.249.900.000,00;0,00;14,24%;
601;BBDC3;14,42;6,74;1,02;0,000;3,96%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;15,09%;112.276.000,00;151.099.000.000,00;0,00;13,90%;
602;TECN3;2,43;6,88;0,58;0,558;3,42%;0,297;0,63;2,90;1,86;3,56;4,07;19,25%;8,11%;3,81;13,07%;8,38%;1.386.310,00;322.791.000,00;0,41;-2,66%;
603;EQMA3B;37,01;6,88;1,90;1,141;14,42%;0,794;8,93;4,63;-3,02;5,61;4,79;24,66%;16,58%;1,38;20,46%;27,67%;9.702,35;3.190.590.000,00;0,66;9,64%;
604;COCE5;45,70;6,94;0,99;0,413;6,36%;0,303;-6,15;2,73;-0,77;5,67;4,51;15,13%;5,96%;0,86;12,59%;14,31%;591.041,00;3.583.410.000,00;1,13;14,61%;
605;ITUB3;19,78;6,97;1,34;0,000;2,96%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;19,23%;10.300.400,00;144.690.000.000,00;0,00;-13,56%;
606;BMGB4;2,46;7,03;0,37;0,000;12,83%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,29%;1.600.230,00;3.861.250.000,00;0,00;-15,12%;
607;AZEV3;3,45;7,03;1,58;1,276;0,00%;0,413;-23,89;-11,10;-0,94;-11,86;-23,00;-11,50%;18,16%;0,95;-4,18%;22,53%;142.573,00;118.646.000,00;0,26;14,83%;
608;SANB4;14,98;7,05;1,42;0,000;10,64%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,11%;2.091.700,00;79.249.900.000,00;0,00;14,24%;
609;CMIG3;15,53;7,15;1,65;0,994;7,27%;0,669;11,87;5,54;-1,91;6,75;5,73;17,95%;13,92%;1,30;13,29%;23,15%;16.627.500,00;20.667.000.000,00;0,48;10,86%;
610;BRIV3;5,80;7,17;0,32;0,000;0,25%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,47%;3.415,12;1.604.230.000,00;0,00;35,46%;
611;CCRO3;12,43;7,26;2,19;1,495;1,32%;0,532;5,50;3,05;-0,96;5,59;4,13;49,02%;20,24%;1,97;20,47%;30,14%;108.435.000,00;11.478.900.000,00;2,39;11,05%;
612;PEAB4;88,13;7,26;1,67;35,825;14,80%;1,439;3,72;-64,16;4,97;-48,60;-59,01;-55,84%;494,35%;10,78;-3,62%;22,98%;6.445,12;679.035.000,00;0,03;-46,14%;
