;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
801;ILMD3;29,00;15,73;2,63;0,683;0,00%;1,395;5,70;14,13;7,53;13,13;13,13;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%;
802;TFCO4;8,94;15,88;4,96;2,954;8,22%;2,948;5,62;13,44;8,27;13,53;13,09;21,98%;18,60%;3,20;29,21%;31,24%;3.830.370,00;287.781.000,00;0,29;75,83%;
803;VIVA3;23,00;15,95;3,78;3,425;1,43%;2,146;6,15;15,94;13,51;15,63;12,59;21,48%;21,47%;2,44;17,33%;23,69%;24.369.300,00;1.437.250.000,00;0,20;49,77%;
804;CRTP5;62,10;15,98;1,71;1,748;0,00%;1,127;3,98;14,09;5,88;12,48;12,48;12,40%;10,94%;2,14;12,36%;10,68%;0,00;1.210.570.000,00;0,12;10,11%;
805;BLAU3;27,10;16,18;2,92;3,592;2,70%;2,116;3,63;10,83;4,84;9,74;9,30;33,16%;22,08%;5,42;32,29%;18,07%;10.284.900,00;1.663.300.000,00;0,20;19,18%;
806;CALI4;50,00;16,22;12,06;1,214;1,73%;0,429;1,32;12,93;-1,41;27,41;26,39;9,39%;7,49%;1,97;3,89%;74,38%;0,00;7.713.000,00;13,80;86,79%;
807;ILMD4;30,00;16,28;2,72;0,707;0,00%;1,443;5,89;14,62;7,79;13,62;13,62;4,84%;4,92%;1,60;12,52%;16,69%;0,00;658.715.000,00;0,02;0,65%;
808;DURA4;31,39;16,35;2,22;2,182;0,00%;1,224;17,24;10,12;-10,49;11,47;11,47;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%;
809;DURA3;31,90;16,62;2,26;2,218;0,00%;1,244;17,52;10,29;-10,66;11,64;11,64;21,56%;13,39%;1,27;14,38%;13,59%;0,00;1.789.980.000,00;0,52;10,94%;
810;STBP3;6,46;16,64;2,48;3,358;4,63%;1,173;7,13;12,86;-4,69;11,23;7,74;26,10%;20,19%;2,47;12,10%;14,90%;30.218.600,00;2.248.940.000,00;0,16;16,15%;
811;DPPI3;85,00;16,65;4,99;-1,453;0,00%;3,753;8,70;190,72;9,75;177,18;177,18;-0,76%;-5,04%;3,14;3,00%;29,97%;0,00;545.227.000,00;0,06;15,14%;
812;ABEV3;14,23;16,65;2,84;3,002;4,24%;1,759;172,32;14,68;-17,61;13,94;10,41;20,45%;18,64%;1,04;16,54%;17,05%;281.331.000,00;78.923.100.000,00;0,04;11,28%;
813;LOGN3;28,65;17,04;5,61;2,049;0,00%;1,072;6,38;11,77;-2,35;15,16;10,22;17,41%;12,03%;1,91;11,92%;32,92%;8.242.850,00;543.864.000,00;2,65;11,85%;
814;TIMP3;13,46;17,13;1,43;1,903;0,00%;0,818;15,37;9,79;-3,78;9,72;3,77;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%;
815;BMTO4;7,57;17,27;2,07;0,000;0,00%;2,030;0,00;-2.625,16;0,00;-2.624,05;-1.477,48;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%;
816;AMBP3;24,36;17,29;2,66;1,137;1,24%;0,464;2,18;7,02;-1,12;12,79;7,98;16,20%;7,67%;2,26;9,01%;15,40%;33.286.700,00;1.033.160.000,00;3,63;194,65%;
817;BFIT4;0,93;17,55;1,96;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%;
818;ODER4;190,00;17,68;5,46;3,131;1,40%;2,671;7,71;10,14;13,28;10,84;10,42;30,87%;17,71%;1,95;30,72%;30,86%;0,00;393.038.000,00;0,56;21,11%;
819;GGPS3;11,05;17,76;3,24;1,027;1,69%;1,095;3,69;12,05;-8,36;12,66;10,27;8,52%;5,79%;2,26;12,10%;18,24%;17.533.700,00;2.284.100.000,00;0,86;0,00%;
820;BMTO3;7,82;17,84;2,14;0,000;0,00%;2,097;0,00;-2.711,85;0,00;-2.710,74;-1.526,30;0,00%;0,00%;0,00;0,00%;12,00%;0,00;1.046.320.000,00;0,00;0,00%;
821;BRGE7;5,40;17,86;0,32;93,136;8,13%;0,127;0,35;-0,68;0,87;1,81;1,82;-13.776,00%;563,79%;2,67;-35,43%;1,78%;0,00;1.250.990.000,00;0,00;-32,62%;
822;WEGE4;16,10;17,95;5,44;2,669;0,00%;2,796;9,49;14,87;13,40;14,83;13,28;17,95%;15,14%;1,77;24,25%;30,32%;0,00;12.417.600.000,00;0,25;25,75%;
823;UCOP4;6,50;18,01;1,30;19,050;0,00%;0,844;5,14;22,70;-8,61;24,17;41,56;83,92%;110,51%;13,37;3,91%;7,23%;0,00;972.713.000,00;0,16;9,25%;
824;VLID3;10,41;18,44;0,75;0,375;2,78%;0,290;1,96;3,62;-2,02;7,02;4,25;10,37%;1,93%;1,48;10,17%;4,07%;3.245.140,00;1.144.670.000,00;1,09;8,48%;
825;HYPE3;40,03;18,47;2,56;4,050;3,85%;1,245;9,96;12,46;-5,75;15,71;14,70;32,50%;21,92%;1,72;11,07%;13,87%;157.478.000,00;9.892.280.000,00;0,83;15,26%;
826;BFIT3;0,98;18,49;2,06;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;11,15%;0,00;1.849.420.000,00;0,00;35,67%;
827;CSED3;3,40;18,51;0,89;0,693;3,85%;0,266;1,95;4,28;-0,61;4,47;2,67;16,20%;3,74%;2,05;8,07%;4,81%;1.381.250,00;1.457.280.000,00;0,77;3,78%;
828;BPAC3;12,21;18,57;3,57;0,000;1,05%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;19,25%;62.090,30;39.299.500.000,00;0,00;65,69%;
829;TMCP3;56,00;18,58;1,38;1,525;0,00%;0,937;3,85;24,25;4,74;19,68;19,68;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%;
830;SMLE3;92,82;18,88;21,91;6,635;0,00%;6,477;-124,00;16,50;-42,31;16,32;13,20;40,22%;35,14%;0,91;46,17%;116,04%;0,00;524.731.000,00;0,00;36,83%;
831;MDIA3;29,78;19,13;1,60;1,229;6,54%;1,012;3,97;20,33;31,00;21,96;13,73;6,05%;6,43%;2,77;5,91%;8,36%;36.458.500,00;6.313.140.000,00;0,26;10,27%;
832;ARZZ3;72,21;19,17;3,17;2,429;2,27%;1,970;9,44;20,70;13,59;19,59;15,08;11,74%;12,60%;1,66;14,06%;16,56%;74.683.200,00;2.497.590.000,00;0,11;19,58%;
833;PNVL3;10,17;19,18;1,43;0,453;1,72%;0,616;2,69;20,77;71,75;29,29;8,94;2,18%;2,36%;1,65;3,91%;7,47%;6.612.570,00;1.066.970.000,00;0,68;9,67%;
834;TMCP4;58,20;19,31;1,44;1,585;0,00%;0,973;4,00;25,21;4,92;20,63;20,63;6,29%;9,75%;2,30;5,54%;7,44%;0,00;1.798.930.000,00;0,03;10,49%;
835;BEEF3;14,48;19,37;18,10;0,310;4,54%;0,499;1,81;4,11;-1,51;7,14;6,11;7,54%;1,60%;1,75;23,31%;93,45%;91.812.000,00;485.754.000,00;24,27;18,96%;
836;EQPA6;10,69;19,42;6,42;2,793;4,12%;1,958;12,48;11,08;-6,19;12,23;10,38;25,21%;14,39%;1,71;22,30%;33,08%;0,00;3.676.940.000,00;1,14;10,57%;
837;RPAD6;4,50;19,42;0,37;0,000;0,00%;0,365;6,21;-96,23;6,22;-80,05;-80,05;0,00%;0,00%;19,84;-0,40%;1,89%;411,58;1.039.900.000,00;0,00;-53,35%;
838;IGTA3;33,13;19,46;1,72;6,390;0,00%;0,831;3,56;14,05;-3,69;17,66;12,83;45,47%;33,23%;5,16;7,83%;8,84%;0,00;3.402.130.000,00;0,94;5,15%;
839;ALPA3;17,00;19,65;2,15;2,922;1,97%;1,307;7,81;17,37;9,38;14,95;12,50;16,82%;14,77%;1,47;10,08%;10,93%;97.984,70;5.405.790.000,00;0,02;-0,33%;
840;AUTM3;19,70;20,00;1,90;0,709;0,00%;0,547;4,08;6,78;-2,42;8,22;8,99;10,47%;4,31%;1,48;11,93%;9,50%;0,00;1.304.250.000,00;0,97;28,21%;
841;AEDU11;37,35;20,13;1,13;1,405;0,00%;0,732;5,77;13,93;-7,31;16,14;10,82;10,08%;6,98%;2,04;5,77%;5,60%;0,00;2.415.400.000,00;0,30;20,90%;
842;JPSA3;29,02;20,27;1,93;4,667;0,29%;0,468;2,34;12,96;-1,68;20,35;12,83;36,02%;46,31%;5,31;4,56%;9,51%;7.666.510,00;1.762.140.000,00;1,94;1,01%;
843;EGIE3;41,87;20,34;4,09;2,766;5,97%;0,863;15,14;5,99;-1,47;8,79;7,42;46,18%;13,61%;1,39;16,58%;20,09%;65.742.500,00;8.359.300.000,00;2,46;14,93%;
844;ENEV3;15,15;20,77;2,55;4,864;0,00%;1,116;23,00;17,71;-2,71;23,98;16,74;27,46%;23,43%;1,47;6,87%;12,30%;142.845.000,00;9.391.460.000,00;1,02;12,19%;
845;LAME4;6,55;20,99;1,89;0,476;0,00%;0,282;1,19;7,32;-4,32;11,24;5,46;6,51%;2,51%;1,72;6,53%;9,02%;0,00;6.514.640.000,00;2,54;9,72%;
846;DOHL3;19,00;21,08;2,02;2,116;1,08%;1,492;3,43;22,58;5,46;22,83;18,46;9,37%;10,03%;5,37;7,27%;9,58%;0,00;711.872.000,00;0,12;9,47%;
847;BMIN3;19,76;21,14;0,73;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;3,43%;185,28;131.334.000,00;0,00;4,07%;
848;LAME3;6,62;21,22;1,91;0,481;0,00%;0,285;1,20;7,40;-4,37;11,32;5,49;6,51%;2,51%;1,72;6,53%;9,02%;0,00;6.514.640.000,00;2,54;9,72%;
849;BRGE3;6,44;21,30;0,38;111,073;0,01%;0,152;0,42;-0,81;1,03;1,68;1,69;-13.776,00%;563,79%;2,67;-35,43%;1,78%;3.310,28;1.250.990.000,00;0,00;-32,62%;
850;INTB3;24,68;21,62;4,09;2,483;1,63%;2,412;4,79;21,31;6,02;20,66;18,30;11,65%;11,43%;2,66;18,70%;18,93%;35.052.700,00;1.975.710.000,00;0,21;36,58%;
851;ELET5;64,50;21,98;1,88;3,846;0,00%;0,785;8,61;32,43;-2,17;37,62;25,16;11,86%;17,68%;1,71;2,74%;8,57%;0,00;78.816.100.000,00;0,54;3,47%;
852;BRGE11;6,71;22,19;0,40;115,729;5,61%;0,158;0,44;-0,84;1,08;1,64;1,65;-13.776,00%;563,79%;2,67;-35,43%;1,78%;142,91;1.250.990.000,00;0,00;-32,62%;
853;CRTP3;86,50;22,26;2,38;2,435;0,00%;1,570;5,55;19,63;8,19;18,02;18,02;12,40%;10,94%;2,14;12,36%;10,68%;0,00;1.210.570.000,00;0,12;10,11%;
854;BSCT6;2,58;22,49;2,04;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,05%;0,00;212.960.000,00;0,00;1,92%;
855;IGTI3;2,48;22,69;1,35;5,001;1,20%;0,633;2,62;11,84;-2,88;15,70;11,17;42,23%;31,73%;4,63;7,25%;5,93%;522.912,00;3.407.800.000,00;0,99;5,14%;
856;RSIP3;0,44;22,70;1,32;0,875;0,00%;0,433;-10,98;9,53;-1,46;18,48;33,21;9,17%;3,85%;0,90;5,00%;5,80%;0,00;66.914.000,00;1,40;15,13%;
857;RSIP4;0,44;22,70;1,32;0,875;0,00%;0,433;-10,98;9,53;-1,46;18,48;33,21;9,17%;3,85%;0,90;5,00%;5,80%;0,00;66.914.000,00;1,40;15,13%;
858;BRGE12;6,95;22,99;0,41;119,869;0,01%;0,164;0,45;-0,87;1,12;1,61;1,62;-13.776,00%;563,79%;2,67;-35,43%;1,78%;0,00;1.250.990.000,00;0,00;-32,62%;
859;TVIT3;19,30;23,46;5,45;1,705;0,00%;2,424;175,42;16,02;-12,72;17,14;17,14;10,64%;7,27%;1,04;17,58%;23,24%;0,00;314.984.000,00;0,56;0,00%;
860;TUPY4;48,21;23,57;2,61;0,880;0,00%;0,999;2,92;10,26;597,78;12,32;7,94;8,58%;3,69%;2,24;13,79%;11,06%;0,00;2.666.340.000,00;0,88;14,31%;
861;TMGC3;1.500,00;23,77;3,05;2,182;0,00%;2,101;12,70;33,47;22,43;32,14;32,14;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%;
862;POWE3;10,90;23,92;0,99;0,618;0,00%;0,378;6,57;17,61;-3,01;10,63;10,01;3,51%;2,59%;1,13;3,54%;4,13%;0,00;988.330.000,00;0,04;0,00%;
863;LJQQ3;5,92;23,92;2,08;0,518;2,07%;0,433;1,44;7,02;-3,13;8,09;5,19;7,39%;2,17%;1,85;7,56%;8,68%;18.351.800,00;533.741.000,00;0,74;22,77%;
864;ALPA4;20,73;23,96;2,62;3,563;1,78%;1,593;9,52;21,18;11,44;18,76;15,69;16,82%;14,77%;1,47;10,08%;10,93%;94.004.600,00;5.405.790.000,00;0,02;-0,33%;
865;TSEP4;29,01;23,97;1,30;1,282;0,00%;0,906;3,80;14,82;4,43;12,29;12,29;8,65%;5,35%;1,88;9,10%;5,43%;0,00;2.047.020.000,00;0,00;4,50%;
866;BMGB11;33,60;23,99;1,27;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,29%;0,00;3.861.250.000,00;0,00;-15,12%;
867;SOMA3;10,06;24,11;1,10;2,284;0,90%;0,770;4,91;25,50;-121,49;28,39;18,48;8,96%;9,48%;2,14;3,35%;4,57%;57.408.500,00;7.173.290.000,00;0,18;165,23%;
868;ELEK3;19,11;24,46;2,66;0,619;0,34%;1,067;3,75;52,11;-110,34;65,77;26,15;1,19%;2,53%;1,94;2,52%;10,87%;0,00;226.327.000,00;0,99;5,69%;
869;MAGS3;62,45;24,49;3,13;2,217;0,00%;2,120;4,90;15,02;6,65;14,19;14,19;14,76%;8,91%;3,06;18,74%;12,78%;0,00;848.546.000,00;0,13;10,05%;
870;AMER3;15,50;24,66;0,92;0,530;0,00%;0,321;1,60;11,83;-1,74;18,76;7,88;4,48%;2,15%;1,76;3,89%;3,72%;211.757.000,00;15.327.300.000,00;0,92;38,49%;
871;YDUQ3;15,25;24,68;1,44;1,047;0,83%;0,469;3,59;8,07;-1,21;14,63;6,65;12,97%;4,24%;1,84;7,21%;5,82%;39.101.100,00;3.279.590.000,00;1,69;6,29%;
872;LUXM4;79,30;25,14;4,03;2,975;0,88%;2,714;-399,27;15,70;-15,95;15,90;9,89;18,95%;11,84%;0,96;19,03%;16,02%;46.071,10;102.315.000,00;0,15;3,00%;
873;VAMO3;11,62;25,17;4,13;3,495;1,69%;1,043;4,37;12,39;-2,94;15,77;11,98;28,21%;13,88%;2,55;13,62%;16,40%;35.798.500,00;2.749.900.000,00;2,22;62,30%;
874;LREN3;24,75;25,18;2,54;2,110;2,23%;1,163;4,09;10,91;10,28;10,03;7,04;19,34%;8,38%;1,77;16,05%;10,10%;271.512.000,00;9.624.740.000,00;0,38;6,72%;
875;CESP5;25,00;25,20;1,08;3,534;0,00%;0,568;60,18;6,89;-1,45;8,09;5,94;51,29%;14,02%;1,13;8,67%;4,28%;0,00;7.583.450.000,00;0,27;11,53%;
876;MULT3;24,30;25,24;2,25;10,132;3,04%;1,359;28,50;17,18;-5,45;19,71;15,86;58,98%;40,11%;1,48;8,72%;8,92%;105.074.000,00;6.481.760.000,00;0,47;2,23%;
877;IGTI11;19,34;25,28;1,50;5,571;1,07%;0,705;2,91;13,19;-3,21;17,05;12,14;42,23%;31,73%;4,63;7,25%;5,93%;53.900.200,00;3.407.800.000,00;0,99;5,14%;
878;CRUZ3;27,59;25,31;22,46;6,614;0,00%;7,185;62,03;20,74;124,93;20,75;19,27;31,89%;26,13%;1,19;46,80%;88,76%;0,00;1.877.350.000,00;0,63;3,04%;
879;CESP6;25,25;25,45;1,09;3,569;0,00%;0,574;60,78;6,96;-1,46;8,16;5,99;51,29%;14,02%;1,13;8,67%;4,28%;0,00;7.583.450.000,00;0,27;11,53%;
880;CESP3;25,55;25,75;1,10;3,611;0,00%;0,581;61,50;7,04;-1,48;8,25;6,05;51,29%;14,02%;1,13;8,67%;4,28%;0,00;7.583.450.000,00;0,27;11,53%;
881;UGPA4;27,10;25,82;2,87;0,258;0,00%;0,802;3,15;19,54;-8,40;28,56;18,60;1,32%;1,03%;1,71;5,31%;11,10%;0,00;10.542.200.000,00;1,63;6,57%;
882;TNLP4;20,36;25,96;0,71;0,344;0,00%;0,125;1,29;3,40;-0,33;9,07;9,07;10,12%;-0,07%;1,48;4,58%;2,72%;0,00;13.736.000.000,00;2,02;15,39%;
883;HGTX4;9,60;26,11;0,92;1,070;0,00%;0,635;1,92;27,10;2,54;28,00;11,15;3,95%;4,10%;2,47;3,00%;3,51%;0,00;1.704.940.000,00;0,12;-4,62%;
884;ELCA4;20,20;26,18;10,18;2,621;0,00%;1,715;18,16;11,59;-3,65;13,83;11,77;22,62%;13,38%;1,47;16,77%;38,90%;0,00;4.186.380.000,00;2,39;13,19%;
885;RENT3;56,00;26,43;6,84;5,080;1,15%;2,055;14,96;15,88;-5,08;18,23;15,68;31,99%;19,22%;1,87;17,67%;25,87%;419.676.000,00;8.036.630.000,00;1,73;12,71%;
886;AMBV4;86,80;26,59;8,74;8,027;0,00%;5,253;144,02;20,54;-37,72;20,36;18,35;39,08%;30,76%;1,18;32,43%;32,88%;0,00;31.105.700.000,00;0,10;21,73%;
887;PINE4;1,03;26,59;0,23;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;0,87%;206.874,00;830.409.000,00;0,00;74,25%;
888;CEPE3;128,00;26,60;5,05;1,105;0,00%;0,740;10,91;7,97;-1,35;12,90;9,93;13,86%;4,15%;1,29;10,36%;18,98%;0,00;1.891.000.000,00;3,41;11,79%;
889;AMBV3;87,00;26,65;8,76;8,045;0,00%;5,266;144,35;20,59;-37,80;20,41;18,39;39,08%;30,76%;1,18;32,43%;32,88%;0,00;31.105.700.000,00;0,10;21,73%;
890;RPSA4;4,90;27,33;1,55;5,697;0,00%;0,805;5,09;107,53;-4,50;137,55;137,55;5,30%;20,85%;2,09;0,85%;5,69%;0,00;1.167.980.000,00;0,61;-14,23%;
891;SEBB11;23,27;28,01;6,44;2,214;0,00%;5,279;24,65;23,96;28,94;23,73;23,73;9,24%;7,40%;2,44;24,15%;23,01%;0,00;145.783.000,00;0,01;50,04%;
892;BRGE6;8,50;28,11;0,50;146,602;8,85%;0,201;0,55;-1,06;1,37;1,42;1,43;-13.776,00%;563,79%;2,67;-35,43%;1,78%;39,53;1.250.990.000,00;0,00;-32,62%;
893;DESK3;9,30;28,92;0,91;1,809;0,00%;0,338;23,06;9,16;-0,93;13,21;7,14;19,75%;7,69%;1,06;4,95%;3,15%;4.944.240,00;891.106.000,00;0,99;0,00%;
894;RPAD3;6,72;29,00;0,55;0,000;0,00%;0,545;9,27;-143,70;9,29;-127,53;-127,53;0,00%;0,00%;19,84;-0,40%;1,89%;1.353,23;1.039.900.000,00;0,00;-53,35%;
895;BRGE8;8,90;29,43;0,52;153,501;3,52%;0,210;0,58;-1,11;1,43;1,37;1,38;-13.776,00%;563,79%;2,67;-35,43%;1,78%;400,35;1.250.990.000,00;0,00;-32,62%;
896;LIPR3;66,01;30,28;3,45;0,000;2,75%;2,915;14,26;-132,89;18,42;-119,53;-119,49;0,00%;0,00%;2,88;-3,10%;11,40%;17.821,70;225.029.000,00;0,00;0,00%;
897;BSCT5;3,50;30,51;2,76;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,05%;0,00;212.960.000,00;0,00;1,92%;
898;CSAB4;49,04;30,63;2,09;60,688;2,28%;0,974;0,00;47,90;0,00;0,00;0,00;126,70%;198,12%;0,00;0,00%;6,81%;343,16;180.414.000,00;0,00;-6,95%;
899;WEGE3;27,61;30,78;9,33;4,578;1,80%;4,795;16,27;25,51;22,98;25,47;22,80;17,95%;15,14%;1,77;24,25%;30,32%;257.022.000,00;12.417.600.000,00;0,25;25,75%;
900;CSAB3;50,00;31,23;2,13;61,876;2,04%;0,993;0,00;48,84;0,00;0,00;0,00;126,70%;198,12%;0,00;0,00%;6,81%;476,74;180.414.000,00;0,00;-6,95%;
901;LIGH3;16,66;31,61;0,93;0,482;0,00%;0,274;7,99;8,34;-0,65;17,60;10,10;5,78%;1,52%;1,14;3,89%;2,95%;0,00;7.029.580.000,00;1,32;8,08%;
902;SULA11;22,68;31,87;1,18;0,467;0,99%;0,329;0,88;-19,36;-6,88;9,41;13,62;-2,41%;1,46%;2,24;-4,27%;3,72%;96.872.900,00;8.150.850.000,00;0,41;1,66%;
903;BRML3;7,80;31,90;0,60;5,269;0,69%;0,331;7,44;8,60;-1,02;11,94;11,11;61,27%;19,14%;1,85;4,17%;1,87%;111.222.000,00;10.844.300.000,00;0,36;-3,53%;
904;SULA4;7,58;31,95;1,19;0,469;0,99%;0,330;0,88;-19,41;-6,90;9,36;13,55;-2,41%;1,46%;2,24;-4,27%;3,72%;66.274,30;8.150.850.000,00;0,41;1,66%;
905;ELCA3;24,70;32,01;12,45;3,205;0,00%;2,098;22,20;14,17;-4,46;16,41;13,97;22,62%;13,38%;1,47;16,77%;38,90%;0,00;4.186.380.000,00;2,39;13,19%;
906;SULA3;7,60;32,04;1,19;0,470;0,99%;0,331;0,89;-19,46;-6,91;9,31;13,47;-2,41%;1,46%;2,24;-4,27%;3,72%;34.728,10;8.150.850.000,00;0,41;1,66%;
907;MOSI3;8,24;32,29;1,56;4,761;0,00%;1,453;1,89;89,69;1,90;42,98;24,91;5,31%;14,75%;13,30;8,12%;4,82%;0,00;670.337.000,00;0,00;0,00%;
908;BRGE5;9,81;32,44;0,58;169,196;0,00%;0,231;0,64;-1,23;1,58;1,26;1,26;-13.776,00%;563,79%;2,67;-35,43%;1,78%;0,00;1.250.990.000,00;0,00;-32,62%;
909;EEEL4;410,00;32,55;1,82;3,755;33,87%;0,844;3,68;7,52;-7,44;7,06;6,88;49,94%;10,41%;2,19;13,86%;5,59%;7.028,00;2.177.320.000,00;0,26;3,09%;
910;CREM3;14,50;32,69;2,45;0,685;0,00%;0,670;4,89;8,52;-5,41;12,04;7,07;8,05%;2,10%;1,29;11,36%;7,50%;0,00;189.701.000,00;1,58;-0,27%;
911;TSEP3;40,00;33,05;1,79;1,768;0,00%;1,250;5,24;20,44;6,11;17,91;17,91;8,65%;5,35%;1,88;9,10%;5,43%;0,00;2.047.020.000,00;0,00;4,50%;
912;ELEK4;26,00;33,27;3,62;0,842;0,25%;1,452;5,10;70,89;-150,12;84,56;33,61;1,19%;2,53%;1,94;2,52%;10,87%;0,00;226.327.000,00;0,99;5,69%;
913;EEEL3;421,01;33,42;1,87;3,856;29,99%;0,866;3,78;7,72;-7,64;7,26;7,08;49,94%;10,41%;2,19;13,86%;5,59%;3.637,23;2.177.320.000,00;0,26;3,09%;
914;PNVL4;18,62;35,11;2,62;0,830;0,00%;1,128;4,93;38,03;131,37;46,55;14,20;2,18%;2,36%;1,65;3,91%;7,47%;0,00;1.066.970.000,00;0,68;9,67%;
915;CTIP3;49,50;35,13;8,76;8,248;0,00%;3,774;-71,28;21,15;-14,32;21,42;18,26;38,99%;23,48%;0,85;24,63%;24,94%;0,00;1.486.250.000,00;0,67;13,43%;
916;TNLP3;27,75;35,39;0,96;0,468;0,00%;0,170;1,76;4,63;-0,45;10,31;10,31;10,12%;-0,07%;1,48;4,58%;2,72%;0,00;13.736.000.000,00;2,02;15,39%;
917;RPAD5;8,29;35,77;0,68;0,000;6,80%;0,673;11,44;-177,28;11,46;-161,10;-161,10;0,00%;0,00%;19,84;-0,40%;1,89%;1.560,91;1.039.900.000,00;0,00;-53,35%;
918;NTCO3;14,62;36,05;0,85;0,518;0,90%;0,387;43,56;11,30;-1,48;15,40;6,07;4,59%;1,42%;1,03;4,23%;2,35%;176.284.000,00;23.821.900.000,00;0,50;0,27%;
919;GEPA3;21,71;36,38;1,04;1,494;0,00%;0,516;-3,92;9,84;-1,35;14,47;7,47;15,18%;4,11%;0,48;6,50%;2,85%;3.206,16;1.978.410.000,00;0,61;-0,78%;
920;VIGR3;25,00;36,57;2,55;0,763;0,00%;0,899;11,45;12,39;-5,02;15,20;22,95;6,16%;2,28%;1,26;9,06%;6,98%;0,00;1.593.560.000,00;0,84;54,72%;
921;MERC3;24,10;38,27;1,69;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,42%;107,21;256.540.000,00;0,00;-36,44%;
922;ALSC3;27,75;38,57;2,20;10,717;0,95%;1,202;9,41;19,33;-4,22;17,49;14,08;55,45%;29,30%;5,39;7,03%;5,69%;0,00;2.593.960.000,00;0,00;2,34%;
923;RHDS3;0,11;39,98;3,24;0,548;0,00%;0,790;-65,29;7,49;-2,70;10,70;8,06;7,31%;1,17%;0,97;11,80%;8,12%;0,00;272.045.000,00;1,49;4,38%;
924;NGRD3;2,06;40,25;1,07;1,950;0,72%;0,664;2,13;24,10;6,76;13,76;6,62;8,09%;4,76%;2,88;4,69%;2,67%;2.364.400,00;457.808.000,00;0,18;14,48%;
925;GEPA4;24,50;41,05;1,17;1,685;0,00%;0,582;-4,42;11,11;-1,52;15,73;8,13;15,18%;4,11%;0,48;6,50%;2,85%;13.878,60;1.978.410.000,00;0,61;-0,78%;
926;RAIA3;30,50;41,22;2,98;0,897;0,00%;1,777;4,31;18,18;5,06;16,73;16,73;4,93%;2,18%;2,20;17,80%;7,22%;0,00;635.785.000,00;0,12;0,00%;
927;RDNI3;7,44;41,52;0,52;0,630;0,77%;0,166;0,85;17,72;-0,71;43,03;33,58;3,55%;2,42%;1,82;0,99%;1,25%;86.217,60;626.058.000,00;0,82;20,22%;
928;SQIA3;16,92;41,75;1,91;3,516;0,39%;1,028;-65,27;37,50;-2,99;41,08;18,66;9,38%;7,87%;0,88;2,98%;4,58%;18.094.400,00;777.865.000,00;0,32;31,21%;
929;IMCH3;6,39;41,83;0,59;0,336;0,00%;0,289;-9,49;12,28;-0,78;21,16;6,62;2,73%;0,80%;0,82;2,55%;1,40%;0,00;920.589.000,00;0,51;21,04%;
930;RDOR3;30,13;42,85;4,46;2,880;4,59%;1,174;4,31;16,08;-3,78;20,03;14,87;17,91%;7,13%;3,07;9,51%;10,40%;136.228.000,00;13.585.300.000,00;1,90;24,43%;
931;TOTS3;25,69;43,17;3,68;4,505;0,83%;1,572;7,18;13,70;-1.490,63;12,66;10,24;32,89%;10,75%;1,67;16,60%;8,53%;151.220.000,00;4.308.030.000,00;0,42;11,29%;
932;PTQS4;189,46;43,43;2,19;4,717;0,00%;1,577;9,89;-7.214,41;-35,73;-7.466,35;-7.466,35;-0,07%;11,37%;3,32;-0,02%;5,04%;0,00;1.714.950.000,00;0,24;56,13%;
933;UOLL4;19,62;43,52;2,35;2,054;0,00%;1,403;457,14;15,14;-12,83;16,49;16,49;13,56%;4,69%;1,01;10,57%;5,40%;0,00;1.003.690.000,00;0,23;21,99%;
934;AERI3;2,78;44,94;2,14;0,908;0,74%;0,686;1,73;12,93;-15,97;17,37;14,11;7,02%;2,02%;2,65;8,56%;4,76%;8.143.840,00;995.260.000,00;1,48;0,00%;
